# Writting to the csv file.,,,,,,,,,,,
,AlexNet Score,AlexNet Alt,,ResNet Score,ResNet Alt,,DenseNet Score,DenseNet Alt,,,
From./output/alexnet/images/train/,,,,,,,,,,Average AlexNet Score,1.012409192
COCO_train2014_000000000731.jpg,1.004698794,0.995323181,,1.112873372,0.898574829,,1.037175368,0.964157104,,,
COCO_train2014_000000000853.jpg,1,1,,1.173744067,0.851974487,,1.041767011,0.959907532,,,
COCO_train2014_000000000965.jpg,1.00594795,0.994087219,,1.028435126,0.972351074,,1.003875435,0.996139526,,,
COCO_train2014_000000001011.jpg,1.004625638,0.99539566,,1.090689711,0.916851044,,1.126260977,0.887893677,,,
COCO_train2014_000000001014.jpg,1.004775813,0.995246887,,1,1,,1.011385338,0.988742828,,,
COCO_train2014_000000001144.jpg,1.01194364,0.988197327,,1.059964256,0.94342804,,1.129322563,0.885486603,,,
COCO_train2014_000000001145.jpg,1.009885275,0.990211487,,1.002516387,0.997489929,,1.030290406,0.970600128,,,
COCO_train2014_000000001261.jpg,1.040344792,0.961219788,,1.246826382,0.802036285,,1.250502073,0.799678802,,,
COCO_train2014_000000001264.jpg,1.016613666,0.983657837,,1.134203854,0.88167572,,1.087675769,0.919391632,,,
COCO_train2014_000000001355.jpg,1.002198273,0.997806549,,1.074523596,0.930644989,,1.036261073,0.965007782,,,
COCO_train2014_000000001386.jpg,1.00456789,0.995452881,,1.041630408,0.960033417,,1.015330033,0.984901428,,,
COCO_train2014_000000001403.jpg,1.008350867,0.991718292,,1.052495493,0.950122833,,1.017386985,0.982910156,,,
COCO_train2014_000000001424.jpg,1.014469534,0.985736847,,1.035475168,0.965740204,,1.046662701,0.955417633,,,
COCO_train2014_000000001510.jpg,1.016294424,0.983966827,,1.012373523,0.98777771,,1.058709972,0.944545746,,,
COCO_train2014_000000001518.jpg,1.015825777,0.984420776,,1.045518903,0.95646286,,1,1,,,
COCO_train2014_000000001523.jpg,1.007928269,0.992134094,,1.104564148,0.905334473,,1.378247223,0.725559235,,,
COCO_train2014_000000001536.jpg,1.067418064,0.936840057,,1.036039917,0.965213776,,1.097479695,0.911178589,,,
COCO_train2014_000000001558.jpg,1.03203455,0.968959808,,1.092867744,0.915023804,,1.069050454,0.935409546,,,
COCO_train2014_000000001670.jpg,1.005708674,0.99432373,,1.0270571,0.973655701,,1.064245957,0.939632416,,,
COCO_train2014_000000001756.jpg,1.0002671,0.999732971,,1.104140781,0.90568161,,1.059925684,0.943462372,,,
COCO_train2014_000000001785.jpg,1.020730473,0.979690552,,1.082278141,0.923976898,,1.172269152,0.853046417,,,
COCO_train2014_000000001804.jpg,1.000022889,0.999977112,,1.036150483,0.965110779,,1.022737558,0.977767944,,,
COCO_train2014_000000001822.jpg,1.024832677,0.975769043,,1.120709336,0.892292023,,1.021557838,0.978897095,,,
COCO_train2014_000000001926.jpg,1.004899067,0.995124817,,1.014202644,0.985996246,,1.00569324,0.994338989,,,
COCO_train2014_000000001958.jpg,1.006596884,0.99344635,,1.117536971,0.894824982,,1.0613719,0.942176819,,,
COCO_train2014_000000001966.jpg,1.0175331,0.982769012,,1.03473538,0.966430664,,1.027113438,0.973602295,,,
COCO_train2014_000000001994.jpg,1.007598965,0.992458344,,1.048412448,0.95382309,,1.081751144,0.924427032,,,
COCO_train2014_000000002007.jpg,1.018826273,0.981521606,,1.075250822,0.930015564,,1,1,,,
COCO_train2014_000000002217.jpg,1.018838152,0.981510162,,1.072874461,0.9320755,,1.026305178,0.974369049,,,
COCO_train2014_000000002258.jpg,1.021048532,0.979385376,,1.125477636,0.888511658,,1.092708303,0.915157318,,,
